,movie_name,director_stars,release_year
0,Die Verurteilten,"Frank Darabont  ,  Tim Robbins,  Morgan Freeman",1994
1,Der Pate,"Francis Ford Coppola  ,  Marlon Brando,  Al Pacino",1972
2,The Dark Knight,"Christopher Nolan  ,  Christian Bale,  Heath Ledger",2008
3,Der Pate 2,"Francis Ford Coppola  ,  Al Pacino,  Robert De Niro",1974
4,Die zwölf Geschworenen,"Sidney Lumet  ,  Henry Fonda,  Lee J. Cobb",1957
5,Schindlers Liste,"Steven Spielberg  ,  Liam Neeson,  Ralph Fiennes",1993
6,Der Herr der Ringe: Die Rückkehr des Königs,"Peter Jackson  ,  Elijah Wood,  Viggo Mortensen",2003
7,Pulp Fiction,"Quentin Tarantino  ,  John Travolta,  Uma Thurman",1994
8,Der Herr der Ringe: Die Gefährten,"Peter Jackson  ,  Elijah Wood,  Ian McKellen",2001
9,Zwei glorreiche Halunken,"Sergio Leone  ,  Clint Eastwood,  Eli Wallach",1966
10,Forrest Gump,"Robert Zemeckis  ,  Tom Hanks,  Robin Wright",1994
11,Fight Club,"David Fincher  ,  Brad Pitt,  Edward Norton",1999
12,Inception,"Christopher Nolan  ,  Leonardo DiCaprio,  Joseph Gordon-Levitt",2010
13,Der Herr der Ringe: Die zwei Türme,"Peter Jackson  ,  Elijah Wood,  Ian McKellen",2002
14,Das Imperium schlägt zurück,"Irvin Kershner  ,  Mark Hamill,  Harrison Ford",1980
15,Matrix,"Lana Wachowski  ,  Keanu Reeves,  Laurence Fishburne",1999
16,GoodFellas - Drei Jahrzehnte in der Mafia,"Martin Scorsese  ,  Robert De Niro,  Ray Liotta",1990
17,Einer flog über das Kuckucksnest,"Milos Forman  ,  Jack Nicholson,  Louise Fletcher",1975
18,Sieben,"David Fincher  ,  Morgan Freeman,  Brad Pitt",1995
19,Die sieben Samurai,"Akira Kurosawa  ,  Toshirô Mifune,  Takashi Shimura",1954
20,Ist das Leben nicht schön?,"Frank Capra  ,  James Stewart,  Donna Reed",1946
21,Das Schweigen der Lämmer,"Jonathan Demme  ,  Jodie Foster,  Anthony Hopkins",1991
22,City of God,"Fernando Meirelles  ,  Alexandre Rodrigues,  Leandro Firmino",2002
23,Der Soldat James Ryan,"Steven Spielberg  ,  Tom Hanks,  Matt Damon",1998
24,Das Leben ist schön,"Roberto Benigni  ,  Roberto Benigni,  Nicoletta Braschi",1997
